Date,CPI,Wholesale Price,Industrial Production,Intl Trade Merch Exports,Intl Trade Merch Imports,FX Rate
2026-01-01,130.0,,,,,
2025-12-01,128.899994,144.0,100.048134,406979.75,613973.0625,58.84883333333333
2025-11-01,128.600006,143.5,102.761719,434670.96875,679404.9375,58.91355
2025-10-01,128.5,143.5,97.322502,416821.9375,684380.125,58.2984090909091
2025-09-01,128.5,142.399994,100.351433,407190.40625,634966.375,57.25009090909089
2025-08-01,127.699997,143.300003,101.363564,417984.75,669526.125,57.252526315789474
2025-07-01,127.300003,143.0,98.934433,398221.28125,645985.0,56.75234782608697
2025-06-01,127.199997,143.100006,99.385788,406874.84375,608916.25,56.358578947368414
2025-05-01,127.300003,143.399994,95.567711,385384.9375,611109.375,55.6246
2025-04-01,127.800003,142.5,97.262245,388416.125,647409.5,56.852888888888884
2025-03-01,128.100006,141.800003,95.583008,394115.84375,566823.0,57.424571428571426
2025-02-01,128.399994,141.399994,99.709747,383804.09375,671522.625,58.09414999999999
2025-01-01,127.699997,140.899994,99.554054,330899.90625,572714.4375,58.39061904761905
2024-12-01,127.0,140.199997,101.454735,334371.9375,624029.75,58.44800000000001
2024-11-01,126.5,139.800003,101.213943,355557.75,689500.8125,58.69464999999999
2024-10-01,126.300003,139.5,96.384209,350995.625,637103.75,57.300869565217376
2024-09-01,126.599998,139.100006,98.493027,384723.03125,635113.1875,56.071285714285715
2024-08-01,126.5,139.0,102.081268,365493.53125,650692.0,57.19345
2024-07-01,125.599998,138.800003,96.161621,326938.34375,581487.0625,58.48447826086956
2024-06-01,125.599998,138.300003,99.541405,366273.8125,639752.375,58.69627777777777
2024-05-01,125.5,137.899994,97.647491,359292.90625,628631.4375,57.76186363636364
2024-04-01,125.599998,137.600006,97.729744,347895.40625,535330.4375,56.95055
2024-03-01,125.5,137.800003,96.690727,337118.875,536791.6875,55.84926315789473
2024-02-01,124.800003,137.399994,96.959373,335485.625,578823.125,56.0649
2024-01-01,124.099998,137.199997,99.474503,321319.0,553411.375,55.97227272727273
2023-12-01,123.900002,137.100006,105.826286,347724.53125,613883.5,55.58766666666667
2023-11-01,123.699997,136.899994,102.859695,370268.53125,611170.6875,55.81221052631579
2023-10-01,123.900002,136.800003,103.601646,384497.25,585963.625,56.78885714285715
2023-09-01,122.5,136.5,98.474525,381162.21875,609840.25,56.78689999999999
2023-08-01,121.199997,135.699997,95.774216,342863.03125,569279.125,56.15985714285713
2023-07-01,121.099998,135.300003,92.780258,375643.90625,595327.75,54.92105
2023-06-01,120.900002,135.199997,96.338371,364171.78125,609678.25,55.89455000000002
2023-05-01,120.900002,134.399994,91.699196,271783.25,538933.375,55.72786363636363
2023-04-01,121.099998,134.199997,104.194328,362091.03125,636832.5,55.3155
2023-03-01,121.400002,134.0,94.989136,279706.0625,492390.0,54.79556521739131
2023-02-01,121.400002,132.699997,98.373718,298950.9375,604171.5625,54.78305263157895
2023-01-01,119.400002,131.5,95.895073,323160.03125,573967.1875,54.991285714285716
2022-12-01,119.0,131.600006,103.61544,412123.375,622165.75,55.6838947368421
