speech_id,date,title,tone_mean,tone_median,pos_share,neg_share,neu_share,n_sent,label_majority
0,2020-03-03,Staying on Track in 2020: Sustaining Positive PH Growth Inflation Dynamics,-0.5343008487219614,-0.5263525247573853,0.0,1.0,0.0,96.0,negative
1,2020-02-28,Finding Opportunities in a Borderless World,-0.5193100581346861,-0.5109032988548279,0.0,1.0,0.0,125.0,negative
2,2020-02-27,Gearing up for the Road Ahead: With Foresight and Purpose,-0.5391402497086147,-0.5343711376190186,0.0,1.0,0.0,128.0,negative
3,2020-02-06,A Strong Nation Amid A Slowing and Volatile World,-0.5399339657617589,-0.5283548831939697,0.0,1.0,0.0,87.0,negative
4,2020-01-31,Welcome Dinner Remarks,-0.505610398297171,-0.5071258544921875,0.0,1.0,0.0,19.0,negative
5,2020-01-30,Accounting as the Language of Business: Some Perspectives from the Bangko Sentral,-0.514821348009884,-0.5052412748336792,0.0,1.0,0.0,165.0,negative
6,2020-01-28,"The Philippine Economy: Towards a More Inclusive, A-rated Economy",-0.5268757343128352,-0.5230926871299744,0.0,1.0,0.0,121.0,negative
7,2020-01-24,"A Good 2019, A Better 2020",-0.5288230739017827,-0.5200297832489014,0.0,1.0,0.0,70.0,negative
8,2020-01-21,Opening Remarks,-0.4889906702957114,-0.4802547097206116,0.0,1.0,0.0,30.0,negative
9,2020-01-09,"The Philippine Economy in 2020: Looking Back, Moving Forward",-0.5321975182829879,-0.5272830128669739,0.0,1.0,0.0,135.0,negative
10,2019-12-17,Speech for the Governor,-0.49139229118344613,-0.4826616048812866,0.0,1.0,0.0,20.0,negative
11,2019-12-02,Presentation at the Digital Payments Leaders Summit,-0.5255660458949768,-0.5148485898971558,0.0,1.0,0.0,30.0,negative
12,2019-12-02,Opening Statement,-0.5201540442531823,-0.5075918436050415,0.0,1.0,0.0,13.0,negative
13,2019-11-26,Keynote CMA: on BSP's 3-pronged approach to MSME financing,-0.5067750144477485,-0.5042295455932617,0.0,1.0,0.0,67.0,negative
14,2019-11-25,Speech of Governor Benjamin E. Diokno on the 4th International Islamic Finance Conference,-0.5114323724975516,-0.5079487562179565,0.0,1.0,0.0,74.0,negative
15,2019-11-25,Financial Health for Filipinos through Financial Education,-0.5052342166942833,-0.5060356259346008,0.0,1.0,0.0,87.0,negative
16,2019-11-21,Sustainable Finance Towards a Climate-Resilient Philippine Economy,-0.5206974015726575,-0.5145103931427002,0.0,1.0,0.0,87.0,negative
17,2019-11-20,Keynote Message,-0.49752174979492797,-0.498074471950531,0.0,1.0,0.0,55.0,negative
18,2019-11-18,Message of Governor Benjamin E. Diokno on the Opening Ceremomies of the XXIII Pacific Rim Banknote Conference,-0.4988879472699784,-0.4889637231826782,0.0,1.0,0.0,16.0,negative
19,2019-11-18,Closing Remarks for DOLE on the importance of transaction accounts for employee,-0.5112935207304276,-0.5034589767456055,0.0,1.0,0.0,51.0,negative
20,2019-11-18,Welcome Remarks,-0.5138918941475255,-0.5060265064239502,0.0,1.0,0.0,22.0,negative
21,2019-10-23,Keynote Message,-0.49196337773982024,-0.4886019229888916,0.0,1.0,0.0,42.0,negative
22,2019-10-17,Philippine Identification System: Paving the Way towards Financial Inclusion,-0.5117836737069065,-0.5185984373092651,0.0,1.0,0.0,20.0,negative
23,2019-10-16,Opening Statement,-0.5284264178599342,-0.5169410109519958,0.0,1.0,0.0,70.0,negative
24,2019-10-11,Financial Inclusion: A Social Mandate,-0.5156455627256052,-0.5051276683807373,0.0,1.0,0.0,108.0,negative
25,2019-10-11,Inclusion and Digital Transformation: A Collaborative Approach to Regulating Fintech,-0.5044966235506115,-0.4980217516422272,0.0,1.0,0.0,59.0,negative
26,2019-10-10,"The Philippine Economy: Moving the Financial Services Industry Forward Through Inclusive Technology, Green Initiatives",-0.5196798964631794,-0.5123053789138794,0.0,1.0,0.0,106.0,negative
27,2019-10-08,The Philippine Economy: Bright Prospects Ahead,-0.5175420359869976,-0.5140289068222046,0.0,1.0,0.0,84.0,negative
28,2019-09-25,Regulations and Policies to Empower Financial Institutions And Reach Undeserved Population through Technology and Innovation,-0.5090923088692849,-0.5027766227722168,0.0,1.0,0.0,93.0,negative
29,2019-09-24,The Philippine Economy: Sustaining Resilience Through Transformational Reforms,-0.5345941084245626,-0.5259182453155518,0.0,1.0,0.0,110.0,negative
30,2019-09-17,"One Team, One Goal: Resilient Partnership Towards Inclusive Economic Growth",-0.5329814456758045,-0.535069465637207,0.0,1.0,0.0,47.0,negative
31,2019-09-13,Message during signing ceremony of MOU between BSP and BCDA,-0.5091221615578394,-0.509364128112793,0.0,1.0,0.0,33.0,negative
32,2019-09-05,A View on Meaningful Banking,-0.506919833729943,-0.5168828964233398,0.0,1.0,0.0,12.0,negative
33,2019-09-02,Opening Remarks,-0.5126820658289728,-0.5012279748916626,0.0,1.0,0.0,21.0,negative
34,2019-08-27,The PH Economy: Sustaining Resilience Amid Uncertainties,-0.5297142196298632,-0.5221920609474182,0.0,1.0,0.0,80.0,negative
35,2019-08-19,Opening Remarks: Evolving Inflation Dynamics,-0.5173436291515827,-0.5101040601730347,0.0,1.0,0.0,50.0,negative
36,2019-08-18,Dinner Remarks for BIS-BSP Research Conference,-0.5128755407785278,-0.5123919248580933,0.0,1.0,0.0,10.0,negative
37,2019-08-16,The Road to Financial Inclusion and Sustainable Economy,-0.513846569151536,-0.5007809400558472,0.0,1.0,0.0,98.0,negative
38,2019-08-06,Philippines: Weaving an Unprecedented Growth Story,-0.5351900626962777,-0.5238534212112427,0.0,1.0,0.0,129.0,negative
39,2019-07-26,Central Banking Beyond Numbers,-0.5202321304436337,-0.5182143449783325,0.0,1.0,0.0,90.0,negative
40,2019-07-23,Fueling the Growth Engine,-0.5349518454567737,-0.5268839597702026,0.0,1.0,0.0,52.0,negative
41,2019-07-03,Governor's Message during Media Launch of New Generation Banknotes bearing Gov. Diokno's Signature,-0.5315328705878485,-0.5281118154525757,0.0,1.0,0.0,16.0,negative
42,2019-06-21,Welcome Remarks to the GRIPS Academic Conference,-0.5186128267739122,-0.527941107749939,0.0,1.0,0.0,21.0,negative
43,2019-06-19,The Philippine Economy: A Story of Cautious Optimism,-0.5391916687371301,-0.5330109596252441,0.0,1.0,0.0,60.0,negative
44,2019-06-19,Fueling Growth of FDIs in the Philippines: The BSP as an Enabler,-0.5198110137743343,-0.517662763595581,0.0,1.0,0.0,100.0,negative
45,2019-06-18,Sustained Partnerships in Financial Inclusion,-0.5189668407617096,-0.5077028870582581,0.0,1.0,0.0,38.0,negative
46,2019-06-14,Data Governance Seminar,-0.4918752382563828,-0.48707759380340576,0.0,1.0,0.0,33.0,negative
47,2019-06-06,Sustaining the Philippine Growth Momentum,-0.5395023428922006,-0.5312713384628296,0.0,1.0,0.0,102.0,negative
48,2019-05-17,Ensuring Price Stability through Monetary Policy,-0.5339901312775333,-0.5295822620391846,0.0,1.0,0.0,68.0,negative
49,2019-04-29,Continuing the Legacy: Key BSP Reforms for Sustained and More Inclusive Growth,-0.5187211932865441,-0.5150932669639587,0.0,1.0,0.0,106.0,negative
50,2019-03-29,Beyond Conventions: Harnessing the BSP Multiplier Amidst Shifting Sands,-0.5275361462308091,-0.5171800851821899,0.0,1.0,0.0,101.0,negative
51,2019-03-26,"Continuity, Collaboration and a Better Future",-0.5069986092439113,-0.5084956884384155,0.0,1.0,0.0,90.0,negative
52,2019-03-08,Policy Continuity and Institutional Independence,-0.5232695186649863,-0.5209685564041138,0.0,1.0,0.0,39.0,negative
53,2019-02-28,Remarks at the Necrological Services for the Late Gov. Nestor Espenilla Jr.,-0.48715959158707334,-0.4840547442436218,0.0,1.0,0.0,72.0,negative
54,2019-02-26,In Memory of Governor Nesting,-0.5083903947688011,-0.5008766651153564,0.0,1.0,0.0,55.0,negative
55,2019-02-18,Pinansyal na Talino at Kaalaman Para sa Kinabukasan,-0.4465244340813822,-0.44782841205596924,0.0,1.0,0.0,68.0,negative
56,2019-01-25,"Optimism, Commitment and Reform",-0.5270143371846707,-0.5184243321418762,0.0,1.0,0.0,85.0,negative
57,2019-01-24,Reflections and Resolutions,-0.5293479898753517,-0.5201789140701294,0.0,1.0,0.0,123.0,negative
58,2019-01-21,Weaving the Financial Stability Narrative in the Asean Region,-0.4994549949477788,-0.49342358112335205,0.0,1.0,0.0,84.0,negative
59,2019-01-03,Learning from Eagles,-0.5159808115106247,-0.5048522353172302,0.0,1.0,0.0,95.0,negative
60,2018-12-12,Speaking Through,-0.5063400357074441,-0.5229277610778809,0.0,1.0,0.0,51.0,negative
61,2018-10-30,Continuity Plus Plus in the Domestic FX Market,-0.5076486258835032,-0.5080397129058838,0.0,1.0,0.0,46.0,negative
62,2018-09-17,Coming Together for MSME Development,-0.5030392312075149,-0.5034310817718506,0.0,1.0,0.0,41.0,negative
63,2018-08-28,Ensuring Price Stability through Monetary Policy,-0.5268792685647469,-0.5158097743988037,0.0,1.0,0.0,54.0,negative
64,2018-08-28,Press Statement for the 2017 Financial Stability Report Press Briefing,-0.5024177346175727,-0.501729428768158,0.0,1.0,0.0,31.0,negative
65,2018-08-17,What it Means: The BSP's Mandates and Impact on Filipino Lives*,-0.5171481286839323,-0.5093399286270142,0.0,1.0,0.0,111.0,negative
66,2018-08-14,Monetary Policy and Inflation Dynamics,-0.5304090003498629,-0.5192917585372925,0.0,1.0,0.0,86.0,negative
67,2018-08-13,Moving the Discussion Forward,-0.49947268273824313,-0.49204960465431213,0.0,1.0,0.0,44.0,negative
68,2018-08-08,Central Bank Evolution in the Digital Age,-0.5187946288285066,-0.5089623928070068,0.0,1.0,0.0,112.0,negative
