,Interbank Call Loan Rate
Region,Philippines
Subnational,
Frequency,"Daily, ""5 observation"""
Unit,% pa
Source,Bangko Sentral ng Pilipinas
Status,Active
Series ID,34005501 (PDOA)
SR Code,SR143555627
Trade Code,
Mnemonic,
Function Description,
First Obs. Date,01/02/1995
Last Obs. Date,03/27/2025
Last Update Time,28/03/2025
Series Remarks,"Interbank Call Loan Rate contains the interest rates on interbank call loan facility. Interbank Call Loan Rate is the rate on loans among banks for periods not exceeding 24 hours primarily for the purpose of covering reserve deficiencies. Interbank call loan rates are classified as high, low and average and Volume of Transactions


[COVID-19-IMPACT]"
Suggestions,
Mean,6.823833634583581
Variance,20.819644708422725
Standard Deviation,4.562854885751104
Skewness,4.512214153267406
Kurtosis,57.0534883832527
Coefficient Variation,0.668664438509505
Min,0
Max,102.625
Median,6.4063
Sum,45303.431500000326
Subtract,-102.625
No. of Obs,6639
01/02/1995,13.4375
01/03/1995,9.375
01/04/1995,8.75
01/05/1995,8.3125
01/06/1995,8.75
01/09/1995,8.125
01/10/1995,8.0625
01/11/1995,8.0625
01/13/1995,9.75
01/16/1995,9.125
01/17/1995,9.0625
01/18/1995,9.0625
01/19/1995,9.0625
01/20/1995,9.125
01/23/1995,9.0625
01/24/1995,9.0625
01/25/1995,9.0625
01/26/1995,9.0625
01/27/1995,9.0625
01/30/1995,9.0625
01/31/1995,9.0625
02/01/1995,9.0625
02/02/1995,9.0625
02/03/1995,9.3125
02/06/1995,9.0625
02/07/1995,9.0625
02/08/1995,9.0625
02/09/1995,9.0625
02/10/1995,9.3125
02/13/1995,9.0625
02/14/1995,9.875
02/15/1995,9.8125
02/16/1995,9.8125
02/17/1995,10.8125
02/20/1995,10.625
02/21/1995,13.6875
02/22/1995,16
02/23/1995,15.125
02/24/1995,32.9375
02/27/1995,28.5625
02/28/1995,27.25
03/01/1995,27.5625
03/02/1995,31.9375
03/03/1995,36.6875
03/06/1995,23.1875
03/07/1995,22.75
03/08/1995,22.25
03/09/1995,22.0625
03/10/1995,22.5
03/13/1995,22.125
03/14/1995,22.0625
03/15/1995,20.0625
03/16/1995,18.0625
03/17/1995,15.3125
03/20/1995,15.0625
03/21/1995,13.0625
03/22/1995,13.0625
03/23/1995,13.0625
03/24/1995,13.3125
03/27/1995,13.375
03/28/1995,12.125
03/29/1995,12.0625
03/30/1995,12.0625
03/31/1995,14.9375
04/03/1995,31.1875
04/04/1995,50
04/05/1995,35.6875
04/06/1995,34.4375
04/07/1995,41.125
04/10/1995,27.25
04/11/1995,13.6875
04/12/1995,12.25
04/17/1995,12.125
04/18/1995,12.1875
04/19/1995,12.125
04/20/1995,12.0625
04/21/1995,12.9375
04/24/1995,13.875
04/25/1995,12.3125
04/26/1995,11.0625
04/27/1995,11.0625
04/28/1995,11.375
05/02/1995,11.625
05/03/1995,11.9375
05/04/1995,11.625
05/05/1995,15.1875
05/09/1995,15.1875
05/10/1995,12.625
05/11/1995,10.9375
05/12/1995,11.9375
05/15/1995,10.8125
05/16/1995,10.6875
05/17/1995,10.4375
05/18/1995,10.1875
05/19/1995,13.75
05/22/1995,12.25
05/23/1995,10.8125
05/24/1995,10
05/25/1995,9.875
05/26/1995,10.875
05/29/1995,9.75
05/30/1995,9.625
05/31/1995,9.5625
06/01/1995,9.5625
06/02/1995,10.875
06/05/1995,10.375
06/06/1995,10.3125
06/07/1995,9.875
06/08/1995,9.625
06/09/1995,11.375
06/13/1995,10.0625
06/14/1995,9.625
06/15/1995,9.5625
06/16/1995,9.9375
06/19/1995,9.6875
06/20/1995,9.5625
06/21/1995,9.5625
06/22/1995,9.5625
06/23/1995,9.625
06/26/1995,9.125
06/27/1995,9.0625
06/28/1995,9.0625
06/29/1995,9.0625
06/30/1995,11.0625
07/03/1995,11.5
07/04/1995,12.4375
07/05/1995,9.4375
07/06/1995,10
07/07/1995,12.1875
07/10/1995,10.1875
07/11/1995,8.5
07/12/1995,8.375
07/13/1995,8.0625
07/14/1995,7.8125
07/17/1995,7.625
07/18/1995,7.5625
07/19/1995,7.5625
07/20/1995,7.5625
07/21/1995,7.5
07/24/1995,7.3125
07/25/1995,7.3125
07/26/1995,7.3125
07/27/1995,7.3125
07/28/1995,7.4375
07/31/1995,7.3125
08/01/1995,7.3125
08/02/1995,7.3125
08/03/1995,7.3125
08/04/1995,7.3125
08/07/1995,7.3125
08/08/1995,7.3125
08/09/1995,7.3125
08/10/1995,7.3125
08/11/1995,7.3125
08/14/1995,7.3125
