sentence,label
INTRODUCTION It is quite clear that Asia is still some distance away from full recovery.,neutral
"However, financial stability is slowly being regained.",positive
The painful process of adjustment is most evident in the sharp improvement in external current account balances that have been principally realized through significant cutbacks in imports and economic recessions.,negative
"At the same time, Asian governments have actively sought to rapidly rebuild confidence by putting in place major reforms especially in their financial systems which bore the brunt of the bursting of the Asian asset bubble.",neutral
Smart investors are seeing in all of these an opportunity to position early and take advantage of an expected Asian economic comeback.,neutral
The Philippines has been more fortunate in avoiding the worst effects of the Asian crisis although it has not been unscathed.,positive
"Moreover, we have not lost time in doing what we have to do to build better economic foundations.",positive
"THE ROLE OF THE BSP In line with our mandate, the BSP has been at the forefront of the Philippine team effort to secure overall financial stability during this crisis period.",positive
We have also initiated major reforms to protect the health of the banking system amid mounting pressures.,positive
One of the strongest institutional features in the Philippines is the independence of the BSP that is directly guaranteed by the Philippine Constitution.,positive
"This has given us the ability to respond more objectively, more quickly and more decisively to changing economic conditions as circumstances require.",positive
This independence has been especially useful in taking decisive actions even during a period of political transition in the Philippines.,positive
"THE KEY RESULT AREAS Going by the results, the Philippines has not done too badly given the depth of the Asian crisis.",positive
"In contrast with most of the other affected economies in the region, the Philippines may yet avoid a full-blown economic recession.",positive
We will also likely meet our revised inflation target of 9.5 percent despite the adverse impact of the El Niño phenomenon and recent destructive typhoons on food prices.,positive
Interest rates have also moderated significantly.,positive
Benchmark bank lending rates are currently at around 17-18 percent versus around 30 percent earlier this year.,neutral
"Before the crisis, these were at 13-14 percent.",neutral
"The peso has also recently rallied to around P40-P41 to the U.S. dollar, broadly in line with the cumulative depreciations of the Korean won, the Thai baht, and the Malaysian ringgit.",neutral
"In the external account, the underlying adjustment process is going very well.",positive
"As of January to August 1998, the current account balance registered a small surplus of $38 million versus a deficit of $3.4 billion over the same period last year.",positive
"More encouraging, merchandise export growth has remained strong at close to 19 percent and this has been backed up by sustained inflows of workers remittances.",positive
The decline of imports has also been much more moderate than in other countries which partly explains why economic output in the Philippines has not collapsed as much.,positive
"In recognition of the real progress that has been achieved, the IMF Executive Board last October 30 completed its review of the country's economic performance and policies.",positive
It also approved the release of a $280 million initial drawing against a total stand-by facility of about $1.4 billion.,positive
"Significantly, in endorsing the country's economic policies, the IMF recognized the necessity of allowing greater fiscal flexibility to avoid a recession.",neutral
"STATUS OF THE BANKING SYSTEM At this point, I would now like to devote some time to the banking situation in the Philippines.",neutral
"As we all know, this area has been the object of much concern in countries around the region as a consequence of the Asian crisis.",neutral
I think it is useful to start by understanding the structure of our banking system to appreciate the relative importance of specific banking institutions from the point of view of overall systemic risk.,neutral
This is critical to putting incidences of bank failure in proper perspective.,neutral
"In our system, the relatively much smaller rural banks and thrift banks are numerically dominant but they account for a mere 9 percent of total system resources.",neutral
"However, the commercial banking system, consisting of 53 operating banks at present, account for 91 percent of total resources.",neutral
The commercial banking system also accounts for nearly two-thirds of total banking offices nationwide.,neutral
"Relatively speaking, current banking problems here are relatively limited and much smaller compared to other affected countries.",positive
"They do not constitute a systemic crisis such as are being experienced now in Japan, Indonesia, Thailand, Korea and, perhaps, Malaysia and China.",positive
"To begin with, the bad loan problem here is still relatively much milder despite a significant deterioration as a result of the Asian crisis.",neutral
The non-performing loan ratio for all commercial banks was measured at 10.5 percent of total loans as of August 1998.,neutral
"However, this compares with 75 percent in Indonesia, 50 percent in Thailand, 45 percent in Korea, and 35 percent in Malaysia according to one private estimate (Warburg Dillon Read).",positive
"Moreover, our commercial banks have already faced up to the higher credit risk by setting up loss provisions equivalent to about 29 percent of estimated non-performing loans.",positive
There are several reasons for our banks' better asset quality and stronger balance sheet.,positive
"First, the asset bubble here was smaller since we received a smaller share of the massive capital inflows to the region especially in the 1990s.",positive
"Second, since our banking industry is private sector-dominated, banks have been able to exercise more objective and critical credit judgment that also reflected their experience, especially bad experience in the 1980s.",positive
"Third, the BSP has been mindful of its job of preserving the stability of the banking system through effective regulation and supervision.",positive
"Even before the onset of the Asian crisis, the BSP already adopted some defensive measures to protect the banking system.",positive
"This included a 20 percent limit on real estate lending relative to loan portfolio, reduction of allowable real estate collateral valuation from 70 percent to 60 percent, and a 30 percent liquidity requirement on foreign assets.",negative
"In 1996, the BSP also ordered a phased increase to be completed by December 1998 in the minimum capitalization requirement of universal banks by 80 percent, of regular commercial banks by 60 percent and of the bigger Metro-Manila based thrift banks by 67 percent.",positive
"As a result, our banking system today has one of the highest capital adequacy ratios in the region, at over 17 percent of risk assets as of June 1998.",positive
This is comparable to those of Singapore and Hong Kong.,neutral
"Moreover, our capital ratios are well in excess of either our 10 percent minimum requirement as prescribed in the General Banking Act or the minimum of 8 percent as recommended by the BIS.",positive
"This situation enables our banks to better cope, on their own, with possibly higher loan losses due to a slowing economy.",positive
"Since the start of the Asian crisis (July 1997), one commercial bank and 7 thrift banks have failed.",negative
"However, their combined deposits of P4.7 billion account for slightly higher than one-fourth of one percent (0.27 percent) of the total deposits of the banking system of P1.7 trillion.",positive
Their combined assets are equivalent to only about 0.41 percent of GDP.,neutral
These are far too insignificant to threaten the banking system.,positive
"Because we have successfully avoided a banking crisis, we do not need to spend massive amounts of public funds to clean up bad loans and recapitalize our banking system.",positive
Government financial support to the banking system has been primarily in the form of fully collateralized emergency loans provided to stabilize banks when bank runs have occurred due to panic.,neutral
A basically healthy banking system has also meant that our banks are able to operate normally.,positive
Both peso and dollar deposits continue to grow.,positive
"On the other hand, net domestic credits to the private sector has slowed down to 9.1 percent as of August 1998 but it remains positive.",neutral
This situation can hardly qualify as a credit crunch where credit supply essentially dries up.,neutral
"Moreover, overall credit growth picked up in August versus July.",positive
Further credit expansion can be expected as the agriculture sector and real estate sector recover.,positive
MEASURES TO STRENGTHEN FURTHER THE BANKING SYSTEM The BSP has adopted new banking reforms since the crisis.,positive
The major new measures included: (1) a further capital increase ranging from 20 to 60 percent over 1998 minimum levels to be completed by year 2000; (2) a 2 percent general loan loss provisioning requirement; (3) stricter specific loan loss provisioning requirement; (4) consolidated supervision of banking units and their affiliates; (5) enhanced disclosure requirements; and (6) more stringent bank licensing requirements.,positive
These reforms are strongly endorsed by both the IMF and the World Bank.,positive
We have recently agreed with the World Bank on a banking sector reform loan to further support banking reforms.,positive
"Commenting on the Philippine banking situation, Mr. Wolfensohn, President of the World Bank, when he visited here early this year remarked, ""... What is very clear is the Philippine situation is vastly different from Korea, Thailand and Indonesia ... I think you all know you are weakened far less than anyone else in the region with the exception of Singapore ...""",positive
"CONCLUDING REMARKS On previous occasions both here and abroad, I have given out essentially the same positive message about the Philippine economy.",positive
The passage of time as this crisis unfolded has only given me more confidence in repeating this assessment on the basis of the hard results.,positive
I have much faith in the economic future of Asia and the Philippines' ability to play a leading role in it.,positive
"The underlying values of hard work, sacrifice, respect for learning, and entrepreneurship that we all share are much bigger and more powerful than the Asian crisis.",positive
"(Note: Taken from Gov. Singson's speech delivered during the Euromoney Conference ""The Philippines in Asia: Leading a New Era in Investment"" held on 11 November 1998 at the Shangri-La Manila Hotel, Makati City)",neutral
Our 5th anniversary celebrations today follow closely behind two significant milestones in our history -- the Centennial celebration of our independence and the swearing in of a President of and for the masses.,neutral
And we are especially fortunate that our new President has honored us with his presence.,neutral
Already this is the second time that he has visited us since winning the presidential elections last May.,neutral
No other government agency has been that fortunate.,positive
Our Fifth Year In Review Our fifth year was characterized by extraordinary challenges due to the onset of the Asian currency crisis shortly after our anniversary last year.,negative
Yet the Philippines has shown greater resilience than most other countries in managing the turbulence.,positive
Our contributions to the country's economic stabilization efforts in the last twelve months were focused on four major areas: (1) containing inflation; (2) stabilizing the exchange rate; (3) mitigating business distress due to high interest rates; and (4) ensuring a stable and healthy banking system.,neutral
Containing Inflation We are pleased to report that the inflation rate in 1997 settled at a decade low of 5.1 percent.,positive
"For the first five months of 1998, average inflation was recorded at 7.6 percent, although for May it went up to 9.3 percent.",neutral
This performance compares favorably with much more rapid inflation in other affected countries.,positive
