window_scheme,horizon_h,n,naive_rmse,naive_mae
expanding,1,960,0.14175720402979905,0.08731906830239408
expanding,2,960,0.25687109030369215,0.17087008989231656
expanding,3,960,0.37262160625105367,0.2541171247972873
expanding,4,940,0.485940954651804,0.3363799508214157
expanding,5,920,0.5931232427330431,0.41809499672285044
expanding,6,900,0.6942245508375836,0.4950871162791631
rolling,1,960,0.14175720402979905,0.08731906830239408
rolling,2,960,0.25687109030369215,0.17087008989231656
rolling,3,960,0.37262160625105367,0.2541171247972873
rolling,4,940,0.485940954651804,0.3363799508214157
rolling,5,920,0.5931232427330431,0.41809499672285044
rolling,6,900,0.6942245508375836,0.4950871162791631
