window_scheme,model,tone_spec,mean_pct_dRMSE,mean_MSFE_gain,sig_share_10,sig_share_05,min_p,mean_p,n_h
expanding,ElasticNet,NEG,-0.1750835543149407,-0.003200615158506374,0.0,0.0,0.5839044838851368,0.7482692249001718,6
expanding,ElasticNet,POSNEG,-13.337318469511573,-0.222296433383945,0.0,0.0,0.9668522268156524,0.9864056432449041,6
expanding,ElasticNet,ToneMean,-3.412277420073766,-0.05296353141503285,0.0,0.0,0.9795741518359607,0.9840922256935626,6
expanding,Lasso,NEG,-0.16818447390091418,-0.0030693394623296046,0.0,0.0,0.6802562420576355,0.8032224842508366,6
expanding,Lasso,POSNEG,-12.988107975523477,-0.2161251046575856,0.0,0.0,0.9670161964810238,0.986699850219655,6
expanding,Lasso,ToneMean,-3.2650363823064716,-0.0505509060646509,0.0,0.0,0.9761704456585447,0.9823506984549338,6
expanding,OLS,NEG,-0.19969591258193908,-0.0036745905112805697,0.0,0.0,0.5250496763694616,0.7282198550126369,6
expanding,OLS,POSNEG,-13.362838001148019,-0.2238934656247392,0.0,0.0,0.9609400145799548,0.9824267619203075,6
expanding,OLS,ToneMean,-3.3449492166974015,-0.0521224495740541,0.0,0.0,0.976368495273523,0.9818560029605051,6
expanding,Ridge,NEG,-0.19424339574987062,-0.003566379251614904,0.0,0.0,0.5184415917992475,0.7204034229907945,6
expanding,Ridge,POSNEG,-13.52578190256123,-0.22612124834516642,0.0,0.0,0.9640911568102885,0.9841898223958276,6
expanding,Ridge,ToneMean,-3.45868620111217,-0.05380858586125159,0.0,0.0,0.9787829651268278,0.9836770821505049,6
expanding,SVR,NEG,-13.226747725964671,-0.09526301737285336,0.0,0.0,0.8129880004890329,0.8895549509963825,6
expanding,SVR,POSNEG,-21.968164938183303,-0.16402892735441657,0.0,0.0,0.37997526148589966,0.4237264352129397,6
expanding,SVR,ToneMean,-11.640469169916765,-0.08302647700318064,0.0,0.0,0.3984885035838902,0.4877769509459013,6
rolling,ElasticNet,NEG,0.03862157552222961,0.000429481579485802,0.0,0.0,0.20920775365000055,0.4046921524669624,6
rolling,ElasticNet,POSNEG,0.4176858917494159,0.003852724899402915,0.16666666666666666,0.16666666666666666,0.01813653621436384,0.25698330684364523,6
rolling,ElasticNet,ToneMean,2.5956611971065104,0.02485153827882311,0.6666666666666666,0.5,0.001605899536186839,0.06575162623105668,6
rolling,Lasso,NEG,0.03265478851351055,0.00036875724066206167,0.0,0.0,0.19652096991022383,0.4129491380558192,6
rolling,Lasso,POSNEG,0.39372621433451865,0.0037403656168254473,0.16666666666666666,0.16666666666666666,0.016576445967162456,0.2741136342010817,6
rolling,Lasso,ToneMean,2.4001815718706667,0.023687849452826797,0.5,0.5,0.0016260894906580114,0.07397512431937436,6
rolling,OLS,NEG,0.0756299238549188,0.000792498037362153,0.0,0.0,0.18858463440500306,0.3734964558114358,6
rolling,OLS,POSNEG,0.30924925072742304,0.0026598347035353596,0.16666666666666666,0.16666666666666666,0.018309743427346037,0.25017355002326963,6
rolling,OLS,ToneMean,2.760643208561025,0.02533001952259049,0.6666666666666666,0.5,0.0014767185644750658,0.05855446176213188,6
rolling,Ridge,NEG,0.103193197340627,0.0010641701075636834,0.0,0.0,0.1658211488181781,0.3611170346189972,6
rolling,Ridge,POSNEG,0.4663960866562145,0.004265948586331882,0.16666666666666666,0.16666666666666666,0.018338260589492505,0.2382621623965734,6
rolling,Ridge,ToneMean,2.8471454386908372,0.026736026241083205,0.8333333333333334,0.5,0.001448378383768767,0.0560598735267526,6
rolling,SVR,NEG,-5.299432104551024,-0.04559513014386635,0.0,0.0,0.7237777519058538,0.8749202207407557,6
rolling,SVR,POSNEG,-14.424355989684964,-0.13046365176500016,0.0,0.0,0.8953035101217517,0.919768406638247,6
rolling,SVR,ToneMean,-5.933689434536677,-0.051481541423862624,0.0,0.0,0.7513590490042374,0.8533182314902933,6
