window_scheme,model,tone_spec,mean_pct_vs_naive,min_pct_vs_naive,max_pct_vs_naive,n_h
expanding,SVR,None,-86.44210945896509,-338.54840002744953,20.369598647456495,6
expanding,SVR,ToneMean,-108.04772978760091,-390.64898044519435,11.305100968339907,6
expanding,SVR,NEG,-111.15255217267027,-396.25655389591384,10.215557956947556,6
expanding,SVR,POSNEG,-126.67901935300286,-430.47654896908955,2.062272339557678,6
expanding,ElasticNet,None,-195.74873677645533,-619.1335032684157,-11.470643268237685,6
expanding,Lasso,None,-195.76755240282276,-619.0358810428336,-11.500783300129068,6
expanding,Ridge,None,-196.10871429958186,-620.1044977033289,-11.461828817933311,6
expanding,Lasso,NEG,-196.5208361268944,-621.9794146179374,-11.579940924702223,6
expanding,ElasticNet,NEG,-196.52676977511734,-622.0825046358144,-11.560790967622285,6
expanding,OLS,None,-196.6026344241577,-621.2912512344234,-11.627190416975477,6
expanding,Ridge,NEG,-196.96712308940027,-623.2755043551437,-11.571976327717067,6
expanding,OLS,NEG,-197.4848345757401,-624.5514816673813,-11.74457953811931,6
expanding,Lasso,ToneMean,-203.3404364006957,-630.6952740148772,-16.628445980495165,6
expanding,ElasticNet,ToneMean,-203.7085126916738,-631.4773030547913,-16.73706427483936,6
expanding,Ridge,ToneMean,-204.1814064658274,-632.6110748795356,-16.821882591015463,6
expanding,OLS,ToneMean,-204.38854499166882,-633.2241575165262,-16.84456753349723,6
expanding,Lasso,POSNEG,-229.7432974176156,-689.8784253896977,-31.24177976698157,6
expanding,ElasticNet,POSNEG,-230.64138903427167,-691.7368698294441,-31.754640592400758,6
expanding,Ridge,POSNEG,-231.53264188692535,-693.6980712534865,-32.1756893287308,6
expanding,OLS,POSNEG,-231.63133053704314,-694.0325159096608,-32.183271669771315,6
rolling,SVR,None,-108.65580038614722,-383.42103891323796,12.348879705764066,6
rolling,OLS,ToneMean,-111.23008319623138,-382.881371911875,9.125791225196798,6
rolling,Ridge,ToneMean,-112.9790444903518,-385.3951720100622,7.5651677891645095,6
rolling,ElasticNet,ToneMean,-115.22485459229016,-389.40377689562683,6.003433010907543,6
rolling,OLS,NEG,-116.39840989256027,-393.18778592933563,5.519160059768806,6
rolling,OLS,POSNEG,-116.49021421280986,-394.2996641266442,7.016381624842589,6
rolling,OLS,None,-116.83546932584807,-394.98190721823056,5.698403113237652,6
rolling,Ridge,POSNEG,-118.10526578703951,-396.39246663588017,5.446715474613675,6
rolling,SVR,NEG,-118.23477708522809,-397.96571002107606,6.941511927866198,6
rolling,Lasso,ToneMean,-118.29000521657035,-394.78206208387445,3.7163163647567443,6
rolling,Ridge,NEG,-118.29063881082449,-395.82634573128274,3.8111235896516686,6
rolling,Ridge,None,-118.81755883528933,-397.9260462374168,3.9995157823535625,6
rolling,ElasticNet,POSNEG,-120.00903583670576,-399.52439127348606,4.159635794788423,6
rolling,SVR,ToneMean,-120.09817252784181,-404.57429733836614,5.276834016996463,6
rolling,ElasticNet,NEG,-120.24010719260095,-399.5187353517956,2.339823148616083,6
rolling,ElasticNet,None,-120.56494331649894,-401.0446978446549,2.5556719940638897,6
rolling,Lasso,POSNEG,-122.8346313193649,-404.4817593292996,2.1675698703933777,6
rolling,Lasso,NEG,-122.94216679430811,-404.24011819243464,0.04742746503773314,6
rolling,Lasso,None,-123.26487278455049,-405.7679840443227,0.3076924245022639,6
rolling,SVR,POSNEG,-137.0517208511039,-442.15589765475255,-2.31775747254219,6
