window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none
expanding,1,ElasticNet,NEG,48,1.0194235474748496,1.0236039693600747,0.9305578378462561,0.9366507335969056,-0.4100770377121572
expanding,1,ElasticNet,None,48,1.0194235474748496,1.0194235474748496,0.9305578378462561,0.9305578378462561,
expanding,1,ElasticNet,POSNEG,48,1.0194235474748496,1.1223440499432695,0.9305578378462561,1.0203929976429933,-10.095951062083843
expanding,1,ElasticNet,ToneMean,48,1.0194235474748496,1.036921772923052,0.9305578378462561,0.9468376021730802,-1.7164823680545838
expanding,1,Lasso,NEG,48,1.0192851609373528,1.0234578318330985,0.9321950676769788,0.9380872152799017,-0.4093722792852617
expanding,1,Lasso,None,48,1.0192851609373528,1.0192851609373528,0.9321950676769788,0.9321950676769788,
expanding,1,Lasso,POSNEG,48,1.0192851609373528,1.1197095710670377,0.9321950676769788,1.02013990680815,-9.85243521423709
expanding,1,Lasso,ToneMean,48,1.0192851609373528,1.0358131904213688,0.9321950676769788,0.9476596307071751,-1.6215314533585994
expanding,1,OLS,NEG,48,1.022482310661472,1.0271039221681617,0.9282431237157948,0.9348609259025334,-0.45199916502221615
expanding,1,OLS,None,48,1.022482310661472,1.022482310661472,0.9282431237157948,0.9282431237157948,
expanding,1,OLS,POSNEG,48,1.022482310661472,1.1255982936410045,0.9282431237157948,1.0195695468907406,-10.084867181010098
expanding,1,OLS,ToneMean,48,1.022482310661472,1.0393980649664774,0.9282431237157948,0.9443374767548324,-1.6543811202036434
expanding,1,Ridge,NEG,48,1.0208000020370676,1.0252951324062791,0.9284822747869893,0.9349726769917425,-0.44035367949071924
expanding,1,Ridge,None,48,1.0208000020370676,1.0208000020370676,0.9284822747869893,0.9284822747869893,
expanding,1,Ridge,POSNEG,48,1.0208000020370676,1.1251241942473849,0.9284822747869893,1.0200234171280418,-10.219846395193194
expanding,1,Ridge,ToneMean,48,1.0208000020370676,1.0385289761618872,0.9284822747869893,0.9451205083321251,-1.7367725401097605
expanding,1,SVR,NEG,48,0.621673950196331,0.7034794156174803,0.48373971107913594,0.5489453402376631,-13.15890192846496
expanding,1,SVR,None,48,0.621673950196331,0.621673950196331,0.48373971107913594,0.48373971107913594,
expanding,1,SVR,POSNEG,48,0.621673950196331,0.7519887238523492,0.48373971107913594,0.6000273634139045,-20.961916389590307
expanding,1,SVR,ToneMean,48,0.621673950196331,0.695530276279823,0.48373971107913594,0.5373019618081561,-11.880234978507213
expanding,2,ElasticNet,NEG,48,0.9740128865708534,0.9767369372160175,0.879238685623418,0.8833546565799679,-0.27967295738298886
expanding,2,ElasticNet,None,48,0.9740128865708534,0.9740128865708534,0.879238685623418,0.879238685623418,
