window_scheme,horizon_h,model,tone_spec,n_common,rmse_none_aligned,rmse_aligned,mae_none_aligned,mae_aligned,pct_dRMSE_vs_none,CW_p_one_sided,MSFE_gain,CW_sig_5pct
expanding,1,SVR,None,48,0.621673950196331,0.621673950196331,0.48373971107913594,0.48373971107913594,,,,False
expanding,2,SVR,None,48,0.5980555569228665,0.5980555569228665,0.4574031959550488,0.4574031959550488,,,,False
expanding,3,SVR,None,48,0.5849162494099825,0.5849162494099825,0.43907196595291315,0.43907196595291315,,,,False
expanding,4,SVR,None,47,0.571578922467833,0.571578922467833,0.4467444512999295,0.4467444512999295,,,,False
expanding,5,SVR,None,46,0.5519264270630483,0.5519264270630483,0.42331410556563237,0.42331410556563237,,,,False
expanding,6,SVR,None,45,0.5528137961198603,0.5528137961198603,0.4042402684832704,0.4042402684832704,,,,False
rolling,1,OLS,ToneMean,48,0.7016725121259377,0.6845191316030095,0.5691863552701598,0.5573793896666065,2.444641941431721,0.08501726601128179,0.023777872742586026,False
rolling,2,SVR,None,48,0.6720358134411902,0.6720358134411902,0.45804802995590616,0.45804802995590616,,,,False
rolling,3,SVR,None,48,0.67561467336991,0.67561467336991,0.4640330140297882,0.4640330140297882,,,,False
rolling,4,SVR,None,47,0.645846879554631,0.645846879554631,0.4443657234398891,0.4443657234398891,,,,False
rolling,5,SVR,None,46,0.6228894480937619,0.6228894480937619,0.4503464105325815,0.4503464105325815,,,,False
rolling,6,SVR,None,45,0.6084955961667695,0.6084955961667695,0.445922545307348,0.445922545307348,,,,False
