window_scheme,horizon_h,model,tone_spec,origin_date,y_true,y_pred,error
expanding,1,ElasticNet,NEG,2016-01-01,2.52504,3.454415722818281,-0.9293757228182806
expanding,1,ElasticNet,NEG,2016-02-01,2.5197684210526314,3.6176635007264846,-1.0978950796738531
expanding,1,ElasticNet,NEG,2016-03-01,2.528319047619048,3.2208797249437,-0.6925606773246518
expanding,1,ElasticNet,NEG,2016-04-01,2.523847619047619,3.626085066550894,-1.102237447503275
expanding,1,ElasticNet,NEG,2016-05-01,2.525338095238096,3.8898998678288708,-1.3645617725907746
expanding,1,ElasticNet,NEG,2016-06-01,2.51565,4.282156470984237,-1.766506470984237
expanding,1,ElasticNet,NEG,2016-07-01,2.5214052631578947,3.666986827678935,-1.14558156452104
expanding,1,ElasticNet,NEG,2016-08-01,2.517215,3.405479071091675,-0.8882640710916747
expanding,1,ElasticNet,NEG,2016-09-01,2.514826315789474,3.4794939072622846,-0.9646675914728107
expanding,1,ElasticNet,NEG,2016-10-01,2.5058625,3.569051702114935,-1.063189202114935
expanding,1,ElasticNet,NEG,2016-11-01,2.5015650000000003,3.573809112620962,-1.0722441126209619
expanding,1,ElasticNet,NEG,2016-12-01,2.518775,3.8964079644716696,-1.3776329644716694
expanding,1,ElasticNet,NEG,2017-01-01,2.527788888888889,4.027806596194602,-1.5000177073057133
expanding,1,ElasticNet,NEG,2017-02-01,2.51759375,4.0448350882693305,-1.5272413382693304
expanding,1,ElasticNet,NEG,2017-03-01,2.535536363636364,4.22405364566569,-1.6885172820293262
expanding,1,ElasticNet,NEG,2017-04-01,2.5772411764705883,4.16448454895057,-1.587243372479982
expanding,1,ElasticNet,NEG,2017-05-01,2.57815,3.3804344163264366,-0.8022844163264367
expanding,1,ElasticNet,NEG,2017-06-01,2.5543,3.671900307694134,-1.117600307694134
expanding,1,ElasticNet,NEG,2017-07-01,2.5655,3.0386244981872284,-0.47312449818722824
expanding,1,ElasticNet,NEG,2017-08-01,2.553335294117648,2.7290810318971856,-0.1757457377795375
expanding,1,ElasticNet,NEG,2017-09-01,2.5712,3.562294928025768,-0.9910949280257677
expanding,1,ElasticNet,NEG,2017-10-01,2.65784,3.3047521219494085,-0.6469121219494083
expanding,1,ElasticNet,NEG,2017-11-01,2.69046,4.003580184265283,-1.3131201842652835
expanding,1,ElasticNet,NEG,2017-12-01,3.0855473684210524,4.154269629083608,-1.0687222606625553
expanding,1,ElasticNet,NEG,2018-01-01,3.0982380952380955,4.212596118856521,-1.1143580236184252
expanding,1,ElasticNet,NEG,2018-02-01,3.075673684210526,4.180572692498594,-1.104899008288068
expanding,1,ElasticNet,NEG,2018-03-01,3.065655,4.361784179321533,-1.2961291793215328
expanding,1,ElasticNet,NEG,2018-04-01,3.15159,4.233030056406093,-1.0814400564060933
expanding,1,ElasticNet,NEG,2018-05-01,3.30657619047619,4.8764791908032565,-1.5699030003270664
expanding,1,ElasticNet,NEG,2018-06-01,3.4621947368421053,4.45407785634905,-0.9918831195069449
expanding,1,ElasticNet,NEG,2018-07-01,3.6392136363636367,4.9683527009675785,-1.3291390646039418
expanding,1,ElasticNet,NEG,2018-08-01,3.934538095238095,5.372568871243243,-1.438030776005148
expanding,1,ElasticNet,NEG,2018-09-01,4.20315,5.007545843320437,-0.804395843320437
expanding,1,ElasticNet,NEG,2018-10-01,4.641321739130435,5.3372173571985355,-0.6958956180681009
expanding,1,ElasticNet,NEG,2018-11-01,4.782921052631579,5.141089119497472,-0.3581680668658933
expanding,1,ElasticNet,NEG,2018-12-01,4.948788235294118,4.6384624284921765,0.31032580680194144
expanding,1,ElasticNet,NEG,2019-01-01,5.096627272727273,4.4132836894723475,0.6833435832549251
expanding,1,ElasticNet,NEG,2019-02-01,5.116333333333333,4.590285660966907,0.5260476723664267
expanding,1,ElasticNet,NEG,2019-03-01,5.169666666666667,4.342722231083751,0.8269444355829156
expanding,1,ElasticNet,NEG,2019-04-01,5.220527777777778,4.358910232791263,0.8616175449865144
expanding,1,ElasticNet,NEG,2019-05-01,5.035757142857143,4.344891940961723,0.69086520189542
